Year,DayOfWeek,Shift,Country,State,Local,Industry Sector,Accident Severity,Potential Severity,Accident Type,Gender,Age,Employee Type,Critical Risk,Damage Index,Hour Type,Safety Gear,Month
2017,Saturday,Afternoon,India,Bihar,Bihar_Local_5,Cement,Minor Injury,Low,Chemical Spill,Male,39,Outsider,Slip/Trip,8862,Working Hours,No,October
2017,Wednesday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_9,Petrochemicals,Severe Injury,High,Explosion,Female,36,Third Party,Chemical Exposure,4327,Overtime,Yes,June
2019,Monday,Morning,India,Punjab,Punjab_Local_12,Mining,Fatal,High,Manual Handling,Female,31,Employee,Fall from Height,8974,Overtime,No,June
2020,Thursday,Night,India,Karnataka,Karnataka_Local_3,Textiles,Severe Injury,High,Electrical Fault,Male,43,Employee,Electric Shock,3460,Working Hours,No,June
2020,Thursday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_14,Steel,Severe Injury,High,Explosion,Male,34,Third Party,Slip/Trip,2614,Working Hours,No,June
2018,Friday,Night,India,Telangana,Telangana_Local_1,Pharmaceuticals,Severe Injury,High,Vehicle Collision,Male,27,Outsider,Chemical Exposure,330,Overtime,Yes,September
2020,Monday,Night,India,Bihar,Bihar_Local_7,Steel,Severe Injury,High,Machinery Accident,Female,30,Outsider,Manual Tools,1592,Overtime,Yes,March
2019,Monday,Morning,India,Bihar,Bihar_Local_14,Mining,Severe Injury,High,Vehicle Collision,Male,31,Third Party,Manual Tools,4328,Working Hours,No,May
2019,Saturday,Afternoon,India,West Bengal,West Bengal_Local_4,Petrochemicals,Minor Injury,Low,Explosion,Male,29,Outsider,Gas Leak,2931,Overtime,No,February
2015,Wednesday,Morning,India,Haryana,Haryana_Local_15,Fertilizers,Severe Injury,High,Slips/Trips,Male,52,Third Party,Manual Tools,5939,Working Hours,No,April
2018,Monday,Morning,India,Tamil Nadu,Tamil Nadu_Local_12,Construction,Severe Injury,High,Electrical Fault,Male,26,Third Party,Fall from Height,6177,Working Hours,No,June
2019,Saturday,Morning,India,Chhattisgarh,Chhattisgarh_Local_3,Construction,Minor Injury,Low,Electrical Fault,Male,34,Third Party,Fire/Explosion,9700,Overtime,No,October
2017,Sunday,Morning,India,Maharashtra,Maharashtra_Local_8,Fertilizers,Severe Injury,High,Explosion,Male,38,Outsider,Manual Tools,1067,Working Hours,No,January
2020,Thursday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_2,Petrochemicals,Minor Injury,Low,Structural Collapse,Male,48,Employee,Fire/Explosion,7024,Working Hours,No,November
2015,Wednesday,Afternoon,India,Karnataka,Karnataka_Local_11,Steel,Minor Injury,Low,Machinery Accident,Male,38,Employee,Slip/Trip,67,Working Hours,Yes,August
2018,Thursday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_12,Electronics,Minor Injury,Low,Electrical Fault,Male,41,Outsider,Chemical Exposure,1441,Overtime,No,July
2016,Saturday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_5,Petrochemicals,Handicapped,Moderate,Structural Collapse,Female,37,Outsider,Pressure Systems,4879,Working Hours,No,October
2015,Tuesday,Night,India,Gujarat,Gujarat_Local_9,Construction,Fatal,High,Machinery Accident,Female,39,Employee,Manual Tools,3722,Overtime,No,April
2020,Saturday,Morning,India,Chhattisgarh,Chhattisgarh_Local_7,Pharmaceuticals,Handicapped,Moderate,Electrical Fault,Female,32,Third Party,Gas Leak,3792,Working Hours,Yes,November
2017,Wednesday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_5,Electronics,Severe Injury,High,Manual Handling,Male,46,Employee,Fall from Height,8780,Overtime,No,May
2017,Saturday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_4,Petrochemicals,Handicapped,Moderate,Explosion,Male,53,Employee,Fire/Explosion,7387,Working Hours,Yes,February
2018,Friday,Night,India,Karnataka,Karnataka_Local_14,Electronics,Fatal,High,Machinery Accident,Female,25,Outsider,Gas Leak,5301,Working Hours,Yes,April
2018,Thursday,Night,India,Chhattisgarh,Chhattisgarh_Local_7,Electronics,Fatal,High,Manual Handling,Male,51,Employee,Manual Tools,4903,Overtime,No,January
2015,Friday,Afternoon,India,Odisha,Odisha_Local_10,Pharmaceuticals,Handicapped,Moderate,Fall from Height,Female,46,Outsider,Slip/Trip,582,Working Hours,No,March
2015,Tuesday,Morning,India,Gujarat,Gujarat_Local_8,Pharmaceuticals,Severe Injury,High,Machinery Accident,Male,49,Third Party,Slip/Trip,3953,Working Hours,Yes,May
2018,Saturday,Night,India,West Bengal,West Bengal_Local_15,Fertilizers,Handicapped,Moderate,Slips/Trips,Male,44,Outsider,Fire/Explosion,6145,Working Hours,Yes,September
2020,Tuesday,Morning,India,Punjab,Punjab_Local_14,Steel,Minor Injury,Low,Electrical Fault,Female,55,Outsider,Electric Shock,9994,Working Hours,Yes,September
2017,Sunday,Morning,India,Chhattisgarh,Chhattisgarh_Local_8,Construction,Handicapped,Moderate,Structural Collapse,Male,25,Employee,Mechanical Impact,3649,Working Hours,No,November
2019,Wednesday,Night,India,Maharashtra,Maharashtra_Local_10,Textiles,Fatal,High,Manual Handling,Male,52,Third Party,Pressure Systems,1619,Overtime,No,April
2019,Sunday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_15,Construction,Severe Injury,High,Manual Handling,Female,44,Outsider,Slip/Trip,331,Working Hours,No,June
2017,Tuesday,Afternoon,India,Maharashtra,Maharashtra_Local_2,Textiles,Fatal,High,Structural Collapse,Female,48,Outsider,Slip/Trip,8588,Overtime,No,April
2020,Saturday,Afternoon,India,Karnataka,Karnataka_Local_9,Automobiles,Handicapped,Moderate,Electrical Fault,Female,41,Outsider,Slip/Trip,3011,Working Hours,Yes,November
2019,Monday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_15,Cement,Fatal,High,Structural Collapse,Female,46,Outsider,Manual Tools,5144,Overtime,No,July
2020,Tuesday,Night,India,Bihar,Bihar_Local_3,Steel,Handicapped,Moderate,Machinery Accident,Male,36,Outsider,Pressure Systems,6443,Overtime,No,January
2017,Sunday,Morning,India,Odisha,Odisha_Local_1,Mining,Minor Injury,Low,Explosion,Female,41,Outsider,Gas Leak,6023,Working Hours,No,October
2019,Thursday,Night,India,Bihar,Bihar_Local_2,Cement,Severe Injury,High,Fire,Male,25,Third Party,Chemical Exposure,3898,Working Hours,Yes,April
2019,Sunday,Morning,India,Karnataka,Karnataka_Local_12,Electronics,Handicapped,Moderate,Manual Handling,Female,30,Third Party,Fire/Explosion,4737,Overtime,No,November
2019,Sunday,Morning,India,Gujarat,Gujarat_Local_4,Textiles,Handicapped,Moderate,Fire,Male,42,Outsider,Heavy Machinery,9808,Working Hours,No,January
2020,Friday,Afternoon,India,Haryana,Haryana_Local_5,Fertilizers,Minor Injury,Low,Machinery Accident,Male,39,Outsider,Fire/Explosion,1041,Working Hours,No,July
2018,Tuesday,Morning,India,Odisha,Odisha_Local_12,Automobiles,Minor Injury,Low,Manual Handling,Male,54,Employee,Chemical Exposure,6618,Working Hours,No,September
2015,Friday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_11,Fertilizers,Handicapped,Moderate,Explosion,Male,29,Third Party,Heavy Machinery,1171,Overtime,No,July
2018,Friday,Night,India,Telangana,Telangana_Local_9,Steel,Severe Injury,High,Manual Handling,Female,31,Employee,Fall from Height,2866,Overtime,No,April
2016,Saturday,Afternoon,India,Telangana,Telangana_Local_6,Electronics,Minor Injury,Low,Fire,Female,33,Outsider,Chemical Exposure,3905,Working Hours,No,July
2018,Wednesday,Morning,India,Bihar,Bihar_Local_13,Automobiles,Severe Injury,High,Vehicle Collision,Male,25,Outsider,Electric Shock,1676,Working Hours,No,June
2016,Friday,Morning,India,Telangana,Telangana_Local_4,Construction,Severe Injury,High,Manual Handling,Female,39,Outsider,Fire/Explosion,1634,Working Hours,No,April
2020,Thursday,Afternoon,India,Telangana,Telangana_Local_15,Construction,Minor Injury,Low,Structural Collapse,Female,29,Third Party,Slip/Trip,7977,Working Hours,No,January
2019,Tuesday,Night,India,Rajasthan,Rajasthan_Local_3,Pharmaceuticals,Fatal,High,Electrical Fault,Male,39,Outsider,Electric Shock,9258,Overtime,Yes,March
2019,Saturday,Night,India,Assam,Assam_Local_4,Pharmaceuticals,Minor Injury,Low,Chemical Spill,Male,42,Third Party,Heavy Machinery,2265,Overtime,Yes,March
2015,Thursday,Morning,India,Telangana,Telangana_Local_11,Steel,Severe Injury,High,Electrical Fault,Male,25,Third Party,Mechanical Impact,2257,Working Hours,No,April
2019,Friday,Morning,India,Maharashtra,Maharashtra_Local_7,Mining,Handicapped,Moderate,Explosion,Male,38,Outsider,Heavy Machinery,3458,Working Hours,No,July
2019,Friday,Afternoon,India,Rajasthan,Rajasthan_Local_8,Automobiles,Severe Injury,High,Vehicle Collision,Male,26,Outsider,Fire/Explosion,7009,Working Hours,Yes,November
2017,Monday,Night,India,Assam,Assam_Local_5,Petrochemicals,Severe Injury,High,Fire,Male,53,Third Party,Fall from Height,4386,Overtime,No,May
2015,Wednesday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_5,Textiles,Severe Injury,High,Machinery Accident,Male,55,Employee,Pressure Systems,507,Overtime,No,September
2018,Tuesday,Afternoon,India,Karnataka,Karnataka_Local_13,Textiles,Handicapped,Moderate,Manual Handling,Male,33,Third Party,Slip/Trip,2421,Working Hours,No,July
2019,Wednesday,Morning,India,Punjab,Punjab_Local_7,Textiles,Severe Injury,High,Vehicle Collision,Male,26,Outsider,Manual Tools,5807,Overtime,No,April
2015,Friday,Afternoon,India,Andhra Pradesh,Andhra Pradesh_Local_10,Cement,Minor Injury,Low,Structural Collapse,Male,40,Outsider,Mechanical Impact,6164,Working Hours,No,November
2019,Wednesday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_15,Textiles,Severe Injury,High,Structural Collapse,Male,50,Outsider,Chemical Exposure,8449,Working Hours,No,April
2020,Friday,Night,India,Punjab,Punjab_Local_12,Electronics,Handicapped,Moderate,Machinery Accident,Male,31,Outsider,Gas Leak,1201,Working Hours,Yes,March
2019,Thursday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_2,Petrochemicals,Severe Injury,High,Structural Collapse,Female,27,Outsider,Heavy Machinery,7999,Working Hours,No,July
2019,Wednesday,Night,India,Bihar,Bihar_Local_5,Petrochemicals,Fatal,High,Explosion,Male,42,Employee,Pressure Systems,1269,Overtime,No,June
2017,Thursday,Afternoon,India,Rajasthan,Rajasthan_Local_14,Fertilizers,Minor Injury,Low,Slips/Trips,Male,45,Outsider,Manual Tools,485,Working Hours,Yes,December
2016,Monday,Morning,India,Gujarat,Gujarat_Local_5,Mining,Minor Injury,Low,Fall from Height,Male,41,Employee,Manual Tools,8534,Working Hours,No,November
2019,Friday,Morning,India,Haryana,Haryana_Local_11,Mining,Handicapped,Moderate,Fall from Height,Female,44,Outsider,Heavy Machinery,6650,Overtime,Yes,December
2018,Wednesday,Afternoon,India,Haryana,Haryana_Local_9,Petrochemicals,Severe Injury,High,Explosion,Male,39,Outsider,Mechanical Impact,8952,Working Hours,No,September
2016,Sunday,Afternoon,India,Rajasthan,Rajasthan_Local_15,Petrochemicals,Severe Injury,High,Explosion,Female,49,Outsider,Fire/Explosion,8775,Working Hours,No,August
2020,Monday,Afternoon,India,Assam,Assam_Local_10,Cement,Severe Injury,High,Chemical Spill,Male,43,Outsider,Mechanical Impact,2761,Working Hours,Yes,June
2016,Sunday,Morning,India,Chhattisgarh,Chhattisgarh_Local_14,Electronics,Severe Injury,High,Electrical Fault,Male,32,Outsider,Electric Shock,9079,Working Hours,No,March
2016,Thursday,Afternoon,India,Haryana,Haryana_Local_9,Construction,Handicapped,Moderate,Slips/Trips,Male,53,Third Party,Mechanical Impact,9169,Overtime,Yes,September
2020,Thursday,Morning,India,Gujarat,Gujarat_Local_14,Construction,Handicapped,Moderate,Electrical Fault,Female,40,Outsider,Fire/Explosion,957,Working Hours,No,September
2019,Friday,Night,India,Chhattisgarh,Chhattisgarh_Local_7,Fertilizers,Severe Injury,High,Chemical Spill,Male,51,Employee,Electric Shock,8856,Working Hours,Yes,October
2018,Thursday,Morning,India,Rajasthan,Rajasthan_Local_2,Steel,Severe Injury,High,Electrical Fault,Male,26,Third Party,Pressure Systems,7674,Overtime,No,August
2016,Saturday,Morning,India,Haryana,Haryana_Local_2,Fertilizers,Minor Injury,Low,Explosion,Female,51,Outsider,Mechanical Impact,3018,Working Hours,Yes,February
2017,Thursday,Morning,India,Chhattisgarh,Chhattisgarh_Local_6,Pharmaceuticals,Minor Injury,Low,Electrical Fault,Male,35,Employee,Manual Tools,392,Working Hours,No,February
2020,Friday,Morning,India,Bihar,Bihar_Local_5,Electronics,Severe Injury,High,Manual Handling,Male,36,Employee,Fire/Explosion,6698,Working Hours,No,June
2017,Tuesday,Night,India,West Bengal,West Bengal_Local_3,Textiles,Severe Injury,High,Manual Handling,Male,49,Third Party,Pressure Systems,2428,Overtime,No,April
2019,Monday,Morning,India,Punjab,Punjab_Local_7,Automobiles,Minor Injury,Low,Structural Collapse,Male,46,Third Party,Gas Leak,1302,Working Hours,No,November
2020,Friday,Morning,India,Punjab,Punjab_Local_14,Electronics,Minor Injury,Low,Machinery Accident,Male,25,Outsider,Manual Tools,1391,Working Hours,No,August
2019,Tuesday,Morning,India,Haryana,Haryana_Local_12,Pharmaceuticals,Fatal,High,Chemical Spill,Male,43,Outsider,Pressure Systems,777,Working Hours,Yes,February
2015,Monday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_9,Fertilizers,Fatal,High,Explosion,Male,52,Outsider,Fall from Height,3263,Overtime,No,May
2019,Thursday,Afternoon,India,Bihar,Bihar_Local_6,Mining,Severe Injury,High,Fall from Height,Male,39,Outsider,Gas Leak,2428,Overtime,No,April
2018,Thursday,Night,India,Chhattisgarh,Chhattisgarh_Local_8,Mining,Severe Injury,High,Structural Collapse,Male,53,Third Party,Fall from Height,30,Overtime,Yes,March
2015,Sunday,Night,India,Telangana,Telangana_Local_3,Automobiles,Minor Injury,Low,Fire,Male,46,Third Party,Heavy Machinery,367,Overtime,No,July
2017,Monday,Night,India,Rajasthan,Rajasthan_Local_8,Petrochemicals,Minor Injury,Low,Chemical Spill,Male,29,Outsider,Chemical Exposure,2313,Working Hours,No,July
2015,Saturday,Night,India,Odisha,Odisha_Local_3,Textiles,Minor Injury,Low,Slips/Trips,Female,48,Third Party,Heavy Machinery,5125,Overtime,No,July
2017,Tuesday,Afternoon,India,Gujarat,Gujarat_Local_5,Steel,Severe Injury,High,Fall from Height,Male,40,Outsider,Pressure Systems,8528,Overtime,No,January
2016,Thursday,Afternoon,India,Telangana,Telangana_Local_13,Automobiles,Minor Injury,Low,Electrical Fault,Male,56,Employee,Slip/Trip,5913,Working Hours,No,July
2018,Wednesday,Afternoon,India,Bihar,Bihar_Local_1,Construction,Minor Injury,Low,Fall from Height,Female,27,Outsider,Mechanical Impact,4556,Working Hours,No,November
2016,Saturday,Afternoon,India,Odisha,Odisha_Local_3,Automobiles,Severe Injury,High,Fire,Male,51,Third Party,Heavy Machinery,131,Working Hours,Yes,June
2015,Saturday,Night,India,Telangana,Telangana_Local_14,Steel,Handicapped,Moderate,Manual Handling,Female,26,Outsider,Gas Leak,7782,Working Hours,Yes,September
2016,Wednesday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_8,Petrochemicals,Severe Injury,High,Manual Handling,Male,41,Third Party,Slip/Trip,7289,Overtime,No,May
2015,Saturday,Morning,India,Bihar,Bihar_Local_2,Construction,Fatal,High,Slips/Trips,Male,46,Outsider,Chemical Exposure,6734,Working Hours,Yes,March
2018,Thursday,Night,India,Maharashtra,Maharashtra_Local_13,Pharmaceuticals,Severe Injury,High,Fire,Male,28,Outsider,Slip/Trip,2962,Working Hours,No,May
2019,Thursday,Afternoon,India,Assam,Assam_Local_9,Automobiles,Severe Injury,High,Manual Handling,Male,53,Employee,Fire/Explosion,838,Working Hours,Yes,April
2017,Friday,Afternoon,India,Maharashtra,Maharashtra_Local_14,Mining,Minor Injury,Low,Explosion,Female,51,Third Party,Heavy Machinery,3121,Working Hours,Yes,December
2019,Tuesday,Morning,India,Karnataka,Karnataka_Local_8,Electronics,Handicapped,Moderate,Chemical Spill,Female,55,Outsider,Fire/Explosion,1832,Working Hours,No,September
2016,Monday,Afternoon,India,Telangana,Telangana_Local_12,Fertilizers,Handicapped,Moderate,Explosion,Male,37,Outsider,Manual Tools,7583,Working Hours,Yes,January
2019,Wednesday,Afternoon,India,Maharashtra,Maharashtra_Local_11,Petrochemicals,Severe Injury,High,Chemical Spill,Male,39,Employee,Slip/Trip,4120,Working Hours,No,April
2015,Saturday,Afternoon,India,Haryana,Haryana_Local_4,Cement,Severe Injury,High,Chemical Spill,Female,50,Outsider,Pressure Systems,9593,Overtime,No,September
2015,Tuesday,Night,India,Rajasthan,Rajasthan_Local_4,Cement,Severe Injury,High,Manual Handling,Male,48,Outsider,Fall from Height,7638,Overtime,Yes,April
2016,Friday,Morning,India,Odisha,Odisha_Local_2,Construction,Fatal,High,Fire,Male,52,Outsider,Fire/Explosion,480,Working Hours,Yes,July
2018,Thursday,Morning,India,West Bengal,West Bengal_Local_14,Cement,Minor Injury,Low,Fall from Height,Male,34,Outsider,Heavy Machinery,348,Working Hours,No,November
2020,Monday,Afternoon,India,Odisha,Odisha_Local_10,Electronics,Handicapped,Moderate,Machinery Accident,Female,37,Outsider,Fire/Explosion,9507,Overtime,Yes,September
2019,Monday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_12,Automobiles,Minor Injury,Low,Manual Handling,Male,50,Employee,Heavy Machinery,1406,Working Hours,Yes,October
2016,Saturday,Night,India,Bihar,Bihar_Local_11,Electronics,Severe Injury,High,Manual Handling,Male,29,Employee,Heavy Machinery,3770,Working Hours,Yes,June
2018,Thursday,Night,India,Chhattisgarh,Chhattisgarh_Local_5,Pharmaceuticals,Severe Injury,High,Electrical Fault,Female,39,Third Party,Heavy Machinery,5146,Working Hours,Yes,June
2019,Friday,Afternoon,India,Punjab,Punjab_Local_15,Pharmaceuticals,Minor Injury,Low,Fire,Male,36,Employee,Pressure Systems,8269,Working Hours,Yes,February
2016,Friday,Night,India,Assam,Assam_Local_2,Fertilizers,Handicapped,Moderate,Fall from Height,Male,49,Third Party,Chemical Exposure,817,Overtime,No,December
2019,Thursday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_14,Steel,Severe Injury,High,Electrical Fault,Male,32,Employee,Chemical Exposure,9169,Working Hours,No,April
2020,Thursday,Morning,India,Punjab,Punjab_Local_13,Automobiles,Handicapped,Moderate,Vehicle Collision,Female,29,Outsider,Pressure Systems,8186,Overtime,No,September
2020,Thursday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_11,Construction,Minor Injury,Low,Manual Handling,Female,31,Employee,Heavy Machinery,10000,Overtime,No,December
2018,Friday,Morning,India,Punjab,Punjab_Local_3,Textiles,Severe Injury,High,Machinery Accident,Male,50,Outsider,Gas Leak,6531,Working Hours,Yes,August
2016,Saturday,Afternoon,India,Andhra Pradesh,Andhra Pradesh_Local_9,Automobiles,Fatal,High,Vehicle Collision,Male,47,Outsider,Chemical Exposure,4021,Working Hours,No,August
2018,Friday,Night,India,Andhra Pradesh,Andhra Pradesh_Local_7,Steel,Severe Injury,High,Machinery Accident,Male,44,Third Party,Heavy Machinery,5729,Working Hours,No,June
2017,Wednesday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_2,Electronics,Severe Injury,High,Electrical Fault,Female,47,Employee,Manual Tools,8808,Working Hours,No,June
2016,Saturday,Morning,India,Punjab,Punjab_Local_9,Automobiles,Minor Injury,Low,Electrical Fault,Male,33,Outsider,Slip/Trip,8991,Working Hours,Yes,February
2019,Wednesday,Morning,India,Haryana,Haryana_Local_15,Mining,Minor Injury,Low,Fall from Height,Female,34,Outsider,Heavy Machinery,4066,Working Hours,No,February
2019,Thursday,Morning,India,Gujarat,Gujarat_Local_5,Cement,Minor Injury,Low,Manual Handling,Male,27,Third Party,Fall from Height,6037,Working Hours,No,January
2017,Sunday,Morning,India,Maharashtra,Maharashtra_Local_8,Mining,Severe Injury,High,Machinery Accident,Male,25,Third Party,Pressure Systems,7669,Overtime,No,April
2020,Wednesday,Night,India,Telangana,Telangana_Local_4,Steel,Fatal,High,Structural Collapse,Female,56,Outsider,Chemical Exposure,2011,Working Hours,No,January
2017,Saturday,Night,India,Tamil Nadu,Tamil Nadu_Local_3,Pharmaceuticals,Handicapped,Moderate,Chemical Spill,Female,30,Third Party,Fall from Height,3924,Working Hours,Yes,December
2017,Monday,Morning,India,Rajasthan,Rajasthan_Local_3,Cement,Minor Injury,Low,Manual Handling,Male,42,Third Party,Manual Tools,3387,Working Hours,No,November
2019,Thursday,Afternoon,India,Rajasthan,Rajasthan_Local_4,Petrochemicals,Severe Injury,High,Chemical Spill,Male,46,Employee,Fire/Explosion,6121,Overtime,No,March
2015,Tuesday,Night,India,Tamil Nadu,Tamil Nadu_Local_1,Pharmaceuticals,Handicapped,Moderate,Chemical Spill,Female,32,Outsider,Manual Tools,691,Working Hours,No,February
2016,Thursday,Night,India,West Bengal,West Bengal_Local_8,Petrochemicals,Minor Injury,Low,Chemical Spill,Female,27,Outsider,Mechanical Impact,9746,Overtime,Yes,September
2018,Sunday,Afternoon,India,Telangana,Telangana_Local_7,Automobiles,Minor Injury,Low,Manual Handling,Male,53,Outsider,Fall from Height,3451,Working Hours,Yes,February
2019,Monday,Afternoon,India,Punjab,Punjab_Local_9,Steel,Minor Injury,Low,Electrical Fault,Male,26,Employee,Heavy Machinery,1314,Working Hours,No,February
2015,Friday,Morning,India,Tamil Nadu,Tamil Nadu_Local_15,Construction,Handicapped,Moderate,Fall from Height,Male,39,Employee,Manual Tools,5451,Working Hours,No,August
2015,Sunday,Afternoon,India,Bihar,Bihar_Local_6,Construction,Handicapped,Moderate,Chemical Spill,Male,43,Outsider,Pressure Systems,519,Working Hours,Yes,January
2020,Sunday,Night,India,Punjab,Punjab_Local_10,Fertilizers,Severe Injury,High,Slips/Trips,Male,39,Employee,Pressure Systems,1088,Working Hours,Yes,July
2015,Friday,Afternoon,India,Haryana,Haryana_Local_2,Steel,Severe Injury,High,Chemical Spill,Female,33,Employee,Pressure Systems,9996,Overtime,No,November
2015,Monday,Afternoon,India,Telangana,Telangana_Local_15,Automobiles,Severe Injury,High,Vehicle Collision,Female,39,Third Party,Gas Leak,4054,Working Hours,No,April
2020,Monday,Night,India,Odisha,Odisha_Local_1,Pharmaceuticals,Handicapped,Moderate,Slips/Trips,Male,34,Third Party,Pressure Systems,4329,Overtime,No,July
2020,Thursday,Night,India,Haryana,Haryana_Local_3,Electronics,Severe Injury,High,Manual Handling,Female,56,Outsider,Slip/Trip,2153,Overtime,Yes,November
2015,Thursday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_14,Petrochemicals,Severe Injury,High,Chemical Spill,Female,56,Outsider,Fall from Height,7290,Working Hours,Yes,May
2015,Thursday,Afternoon,India,Karnataka,Karnataka_Local_11,Electronics,Minor Injury,Low,Manual Handling,Female,54,Third Party,Fire/Explosion,9110,Working Hours,No,March
2019,Wednesday,Night,India,Punjab,Punjab_Local_4,Construction,Fatal,High,Manual Handling,Male,41,Outsider,Heavy Machinery,9058,Overtime,No,September
2016,Friday,Night,India,Assam,Assam_Local_2,Mining,Handicapped,Moderate,Structural Collapse,Male,27,Outsider,Fall from Height,5455,Overtime,No,February
2020,Monday,Morning,India,Maharashtra,Maharashtra_Local_12,Pharmaceuticals,Minor Injury,Low,Fire,Male,44,Third Party,Mechanical Impact,7475,Working Hours,No,February
2018,Friday,Night,India,Punjab,Punjab_Local_3,Automobiles,Handicapped,Moderate,Vehicle Collision,Male,56,Outsider,Chemical Exposure,7701,Overtime,No,January
2020,Monday,Night,India,Punjab,Punjab_Local_6,Electronics,Minor Injury,Low,Explosion,Male,36,Third Party,Chemical Exposure,7334,Working Hours,No,October
2015,Sunday,Afternoon,India,Punjab,Punjab_Local_9,Textiles,Severe Injury,High,Manual Handling,Female,25,Outsider,Gas Leak,8312,Overtime,No,June
2017,Wednesday,Afternoon,India,Telangana,Telangana_Local_8,Fertilizers,Severe Injury,High,Explosion,Female,39,Outsider,Heavy Machinery,4411,Working Hours,No,May
2019,Wednesday,Night,India,Telangana,Telangana_Local_1,Electronics,Severe Injury,High,Explosion,Male,42,Outsider,Manual Tools,1357,Working Hours,No,November
2018,Thursday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_15,Steel,Minor Injury,Low,Machinery Accident,Male,52,Outsider,Electric Shock,4970,Overtime,Yes,January
2015,Tuesday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_7,Textiles,Minor Injury,Low,Manual Handling,Male,46,Outsider,Fall from Height,4286,Working Hours,No,March
2018,Tuesday,Afternoon,India,Assam,Assam_Local_3,Petrochemicals,Handicapped,Moderate,Fire,Male,56,Outsider,Heavy Machinery,7614,Working Hours,No,March
2015,Tuesday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_14,Textiles,Minor Injury,Low,Machinery Accident,Male,28,Outsider,Pressure Systems,1116,Overtime,No,December
2019,Tuesday,Night,India,Chhattisgarh,Chhattisgarh_Local_6,Electronics,Fatal,High,Electrical Fault,Female,32,Outsider,Manual Tools,8497,Overtime,Yes,June
2018,Monday,Night,India,Assam,Assam_Local_13,Petrochemicals,Handicapped,Moderate,Vehicle Collision,Male,35,Third Party,Mechanical Impact,3218,Working Hours,Yes,January
2018,Tuesday,Morning,India,Tamil Nadu,Tamil Nadu_Local_2,Petrochemicals,Severe Injury,High,Electrical Fault,Male,25,Outsider,Electric Shock,7064,Working Hours,No,May
2017,Tuesday,Morning,India,Haryana,Haryana_Local_7,Fertilizers,Severe Injury,High,Fire,Female,34,Third Party,Gas Leak,9135,Overtime,No,November
2016,Wednesday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_6,Steel,Minor Injury,Low,Fall from Height,Male,40,Employee,Gas Leak,1961,Working Hours,Yes,September
2019,Saturday,Night,India,West Bengal,West Bengal_Local_5,Fertilizers,Severe Injury,High,Explosion,Male,36,Employee,Fire/Explosion,7131,Working Hours,Yes,April
2017,Saturday,Night,India,Telangana,Telangana_Local_13,Cement,Fatal,High,Chemical Spill,Female,46,Employee,Fire/Explosion,5880,Overtime,No,May
2017,Thursday,Afternoon,India,Madhya Pradesh,Madhya Pradesh_Local_1,Fertilizers,Minor Injury,Low,Vehicle Collision,Female,28,Third Party,Pressure Systems,4135,Working Hours,No,March
2015,Sunday,Morning,India,Bihar,Bihar_Local_2,Steel,Severe Injury,High,Machinery Accident,Male,56,Outsider,Electric Shock,8780,Overtime,Yes,May
2019,Wednesday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_2,Textiles,Minor Injury,Low,Manual Handling,Male,42,Third Party,Pressure Systems,9026,Working Hours,No,February
2017,Friday,Night,India,Chhattisgarh,Chhattisgarh_Local_7,Petrochemicals,Severe Injury,High,Explosion,Female,32,Employee,Heavy Machinery,1117,Overtime,No,April
2019,Sunday,Morning,India,Chhattisgarh,Chhattisgarh_Local_7,Automobiles,Fatal,High,Electrical Fault,Male,51,Employee,Fire/Explosion,639,Working Hours,No,April
2016,Sunday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_6,Construction,Severe Injury,High,Slips/Trips,Male,52,Outsider,Fall from Height,2946,Overtime,No,June
2015,Sunday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_7,Petrochemicals,Minor Injury,Low,Manual Handling,Female,55,Employee,Manual Tools,9555,Overtime,No,August
